file	organism	gene
data/old_jsons/Gaydos/HA.json	JF915184.1	HA
data/old_jsons/Gaydos/M.json	FJ966085.1	M1
data/old_jsons/Gaydos/NA.json	JF915186.1	NA
data/old_jsons/Gaydos/NP.json	JF915187.1	NP
data/old_jsons/New/HA.json	CY113181.1	HA
data/old_jsons/New/M.json	KC142131.1	M1
data/old_jsons/New/NA.json	CY044263.1	NA
data/old_jsons/New/NP.json	CY113184.1	NP
data/old_jsons/New/NS.json	CY113185.1	NS1
data/old_jsons/New/PA.json	CY121202.1	PA
data/old_jsons/New/PB1.json	CY251100.1	PB1
data/old_jsons/New/PB2.json	CY112256.1	PB2
